TreeDepth,Index,Address,Module,Symbol
0,94,0xf80732ab8570,ntoskrnl1,NtTraceEvent
0,95,0xf8073308bbb0,ntoskrnl1,NtPowerInformation
0,96,0xf80733137fa0,ntoskrnl1,NtSetValueKey
0,97,0xf80732aea650,ntoskrnl1,NtCancelTimer
0,98,0xf80732be2230,ntoskrnl1,NtSetTimer
0,99,0xf80732b75270,ntoskrnl1,NtAccessCheckByType
0,100,0xf80732d9d7a0,ntoskrnl1,NtAccessCheckByTypeResultList
0,101,0xf80733341450,ntoskrnl1,NtAccessCheckByTypeResultListAndAuditAlarm
0,102,0xf80733341500,ntoskrnl1,NtAccessCheckByTypeResultListAndAuditAlarmByHandle
0,103,0xf80733165150,ntoskrnl1,NtAcquireProcessActivityReference
0,104,0xf8073311dc90,ntoskrnl1,NtAddAtomEx
0,105,0xf80733374340,ntoskrnl1,NtAddBootEntry
0,106,0xf80733374370,ntoskrnl1,NtAddDriverEntry
0,107,0xf80733027980,ntoskrnl1,NtAdjustGroupsToken
0,108,0xf807330e3790,ntoskrnl1,?GetPnpProperty@NT_DISK@@UEAAJPEAXPEAPEAX@Z
0,108,0xf807330e3790,ntoskrnl1,?ScAnsiToUnicodeString@@YAJPEADPEAU_UNICODE_STRING@@@Z
0,108,0xf807330e3790,ntoskrnl1,NtAdjustTokenClaimsAndDeviceGroups
0,108,0xf807330e3790,ntoskrnl1,NtCreateEventPair
0,108,0xf807330e3790,ntoskrnl1,NtFilterTokenEx
0,108,0xf807330e3790,ntoskrnl1,NtOpenEventPair
0,108,0xf807330e3790,ntoskrnl1,NtSetHighEventPair
0,108,0xf807330e3790,ntoskrnl1,NtSetHighWaitLowEventPair
0,108,0xf807330e3790,ntoskrnl1,NtSetLowEventPair
0,108,0xf807330e3790,ntoskrnl1,NtSetLowWaitHighEventPair
0,108,0xf807330e3790,ntoskrnl1,NtVdmControl
0,108,0xf807330e3790,ntoskrnl1,NtWaitHighEventPair
0,108,0xf807330e3790,ntoskrnl1,NtWaitLowEventPair
0,108,0xf807330e3790,ntoskrnl1,SeAdjustObjectSecurity
0,108,0xf807330e3790,ntoskrnl1,xHalIommuMapDevice
0,108,0xf807330e3790,ntoskrnl1,xHalLoadMicrocode
0,108,0xf807330e3790,ntoskrnl1,xHalPostMicrocodeUpdate
0,108,0xf807330e3790,ntoskrnl1,xHalUnloadMicrocode
0,109,0xf8073332db10,ntoskrnl1,NtAlertResumeThread
0,110,0xf8073332dc30,ntoskrnl1,NtAlertThread
0,111,0xf80733110d50,ntoskrnl1,NtAlertThreadByThreadId
0,112,0xf807330b2c80,ntoskrnl1,NtAllocateLocallyUniqueId
0,113,0xf807330d2f00,ntoskrnl1,NtAllocateReserveObject
0,114,0xf807332f16e0,ntoskrnl1,NtAllocateUserPhysicalPages
0,115,0xf807330dafe0,ntoskrnl1,NtAllocateUuids
0,116,0xf8073307f0c0,ntoskrnl1,NtAllocateVirtualMemoryEx
0,117,0xf8073302e7c0,ntoskrnl1,NtAlpcAcceptConnectPort
0,118,0xf807330e2720,ntoskrnl1,NtAlpcCancelMessage
0,119,0xf8073302d140,ntoskrnl1,NtAlpcConnectPort
0,120,0xf8073302d4b0,ntoskrnl1,NtAlpcConnectPortEx
0,121,0xf807330cbc40,ntoskrnl1,NtAlpcCreatePort
0,122,0xf807331093a0,ntoskrnl1,NtAlpcCreatePortSection
0,123,0xf807330cebd0,ntoskrnl1,NtAlpcCreateResourceReserve
0,124,0xf807330302b0,ntoskrnl1,NtAlpcCreateSectionView
